,Title,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Release Year,Release Month,Release Day,Available Globally
3042,Focus (2015),0,6200000,269483,6.6,"['Comedy', 'Crime', 'Drama']","con artist,con man,deception,seduction,interracial relationship","In the midst of veteran con man Nicky&apos;s latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",0,0,Unknown,No
3043,I AM A KILLER: Season 2,2020-01-31 00:00:00,6200000,15636,6.2,"['Crime', 'Drama', 'Horror']","autopsy,winter,halloween party,murder,teenage protagonist",unknown,2020,1,Friday,No
3044,I Will Be Your Bloom: Season 1 // 君の花になる: シーズン1,0,6200000,14,6.0,"['Documentary', 'Short']",dvd extra,unknown,0,0,Unknown,No
3046,Instructions Not Included // No se aceptan devoluciones,0,6200000,32321,7.5,"['Comedy', 'Drama']","father daughter relationship,mexico,beach,acapulco,school bullying",A man who has made a new life for himself and the daughter left on his doorstep 6 years ago finds his family threatened when the birth mother resurfaces.,0,0,Unknown,No
3047,Joker (2019),0,6200000,1429558,8.4,"['Crime', 'Drama', 'Thriller']","mental illness,evil clown,stand up comedian,nihilism,clown","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",0,0,Unknown,No
3049,LEGO Ninjago: Masters of Spinjitzu: Hands of Time,0,6200000,6986,7.6,"['Animation', 'Action', 'Adventure']","cgi animation,computer animation,3d animation,hero,villain",unknown,0,0,Unknown,No
3050,Madam Secretary: Season 5,0,6200000,27,9.4,['Short'],unknown,unknown,0,0,Unknown,No
3052,Ouija: Origin of Evil,0,6200000,71722,6.2,"['Drama', 'Horror', 'Mystery']","prequel,seance,possession,ouija board,supernatural power",unknown,0,0,Unknown,No
3053,Partners in Crime (Philippines Movie),0,6200000,152,4.3,"['Action', 'Comedy']","crime scene,maid,f rated,three word title,title directed by female","Two exes cross paths once again, but when they get involved in a crime, the duo must find a way out of their dilemma together.",0,0,Unknown,Yes
3054,Power Rangers Beast Morphers: Season 1,0,6200000,759,6.8,"['Action', 'Adventure', 'Comedy']","the future,shared universe,superhero,non comic book superhero,superhero team",unknown,0,0,Unknown,No
3055,Seal Team,2021-12-31 00:00:00,6200000,1746,5.6,"['Animation', 'Action', 'Comedy']","shark,seal,dolphin,cg animation,team action",Fearless seal Quinn assembles a squad of misfit recruits to stand up to ruthless sharks with razor-sharp teeth and reclaim the open sea.,2021,12,Friday,No
